Škola,URL
"Fakultní základní škola a mateřská škola Barrandov II při PedF UK, Praha 5 - Hlubočepy, V Remízku 7/919, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/aa4a50d047d4.html
"Fakultní základní škola s rozšířenou výukou jazyků při PedF UK, Praha 5 - Smíchov, Drtinova 1/1861, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/ff13fca35a81.html
"Gymnázium a Střední odborná škola, Klášterec nad Ohří, Chomutovská 459, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/08cb70a0a8e1.html
"Gymnázium Brno, třída Kapitána Jaroše, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/aeefe33639d1.html
"Gymnázium J.Š.Baara, Domažlice, Pivovarská 323",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/c0068de05e04.html
"Gymnázium Karla Sladkovského, Praha 3, Sladkovského náměstí 8",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/ff50f80104c8.html
"Gymnázium T. G. Masaryka Zastávka, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/c30e8cc55f42.html
Gymnázium Zlín - Lesní čtvrť,https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/cb6da9d251bc.html
"Gymnázium Židlochovice, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/c1fae5aefcd1.html
"Gymnázium, Lovosice, Sady pionýrů 600, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/521504072dbd.html
"Gymnázium, Nový Jičín, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/01d2e3bedf7f.html
"Gymnázium, Olomouc - Hejčín, Tomkova 45",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/87fc488bd996.html
"Gymnázium, Teplice, Čs. dobrovolců 11, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/1a5f65ccc0ce.html
"Městské víceleté gymnázium Klobouky u Brna, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/1111e6bc0c96.html
"PORG - gymnázium, základní škola a mateřská škola, o.p.s.",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/5b2eb5b359cd.html
"Střední škola, základní škola a mateřská škola da Vinci",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/c0d452f17e66.html
Základní škola a lesní mateřská škola Na dvorečku,https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/47c6a3c53126.html
"Základní škola a mateřská škola Adamov, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/e5ad95199ae4.html
"Základní škola a Mateřská škola Bohumín-Skřečoň 1. máje 217 okres Karviná, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/5d1128e359d4.html
"Základní škola a Mateřská škola Chýně, okres Praha - západ",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/0114dac3033c.html
"Základní škola a Mateřská škola Dr. Edvarda Beneše, Praha-Čakovice",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/b2f693318c18.html
"Základní škola a Mateřská škola Dělnická, Karviná, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/dc91a6e91a18.html
"Základní škola a Mateřská škola Kladno, Doberská 323",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/46695b46f4b3.html
Základní škola a mateřská škola Montessori Slaný s.r.o.,https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/6d4eba4788ef.html
"Základní škola a mateřská škola Ostrava-Svinov, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/8f058e0b0843.html
"Základní škola a Mateřská škola Pohořelice, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/65e68e326e67.html
Základní škola a mateřská škola Sázava,https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/150354189c97.html
Základní škola a Mateřská škola Ždírec nad Doubravou,https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/2ee73c046e23.html
"Základní škola a Mateřská škola, Kubatova 1, České Budějovice",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/2980d2d4a938.html
"Základní škola a Základní umělecká škola Líbeznice, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/e862d3171ca3.html
"Základní škola a Základní umělecká škola, Liberec, Jabloňová 564/43, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/8ca338a81dee.html
"Základní škola Chrást, okres Plzeň-město, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/f91789ca697c.html
"Základní škola generála Heliodora Píky a Mateřská škola Štítina, okres Opava, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/ca02ba7f199c.html
"Základní škola Kamenice, okres Praha - východ",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/60d05f90fcae.html
Základní škola Karla Hašlera Libčice nad Vltavou,https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/e5bd22ba9b27.html
"Základní škola Kralupy nad Vltavou, Gen. Klapálka 1029, okres Mělník, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/f219a08f2d57.html
"Základní škola Litomyšl, U Školek 1117, okres Svitavy",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/c1f0ba3c45f1.html
"Základní škola Olomouc, Stupkova 16, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/492d3afc8bea.html
"Základní škola Pardubice-Polabiny, npor. Eliáše 344",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/f0d6b58e6306.html
"Základní škola Praha 7, Strossmayerovo náměstí 4",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/a456c4dbef84.html
Základní škola Písnická v Praze 12,https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/fbbf456b028a.html
Základní škola s rozšířenou výukou jazyků Magic Hill s.r.o.,https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/dd851ec36d37.html
"Základní škola Světice, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/a81275e0d5f2.html
"Základní škola T.G. Masaryka Rajhrad, okres Brno-venkov, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/d147064a2d71.html
"Základní škola Tomáše Šobra a Mateřská škola Písek, Šobrova 2070",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/79e9c91b5264.html
"Základní škola Václava Havla, Poděbrady, Na Valech 45, okres Nymburk",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/4a28c89ee187.html
"Základní škola Ústí nad Labem, Mírová 2734/4, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/9ef82945d1d9.html
"Základní škola Štěrboholy, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/3816ccf53601.html
"Základní škola, Liberec, Česká 354, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/131cf0efb0f7.html
"Základní škola, Praha 10, U Roháčových kasáren 1381/19, příspěvková organizace",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/ce49cb4716c3.html
"Základní škola, Praha 4, Na Líše 16",https://aidetem.cz/dataviz/startup-lab-vysledky/skoly/f36f33af2b16.html
